Nose,Nose,Neck,Neck,RShoulder,RShoulder,RElbow,RElbow,RWrist,RWrist,LShoulder,LShoulder,LElbow,LElbow,LWrist,LWrist,MidHip,MidHip,RHip,RHip,RKnee,RKnee,RAnkle,RAnkle,LHip,LHip,LKnee,LKnee,LAnkle,LAnkle,REye,REye,LEye,LEye,REar,REar,LEar,LEar,LBigToe,LBigToe,LSmallToe,LSmallToe,LHeel,LHeel,RBigToe,RBigToe,RSmallToe,RSmallToe,RHeel,RHeel
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0051741999999999995,0.31159000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00519744,0.29523000000000005,0.0,0.0,0.00522615,0.292545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.022524699999999998,0.316947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188178,0.300681,0.027901199999999998,0.30341,0.0052010500000000005,0.297962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.033373,0.314332,0.00521042,0.39061799999999997,0.00520474,0.385136,0.00518044,0.450573,0.0333186,0.44773799999999997,0.0051889200000000005,0.39058699999999996,0.00517246,0.49420699999999995,0.035247099999999996,0.556869,0.00520395,0.600372,0.0052137,0.605846,0.046055099999999995,0.703903,0.0551667,0.796538,0.00517846,0.597653,0.0478453,0.703859,0.0551438,0.796481,0.0225713,0.298066,0.0351862,0.298105,0.00518669,0.31149899999999997,0.0,0.0,0.08239049999999999,0.796474,0.08052569999999999,0.799264,0.07329089999999999,0.8591519999999999,0.07878969999999999,0.8101109999999999,0.07692009999999999,0.8182659999999999,0.044267999999999995,0.796511
0.0460403,0.317036,0.00519469,0.396046,0.0,0.0,0.0,0.0,0.0,0.0,0.0205926,0.401441,0.020711,0.505039,0.0532978,0.567654,0.00520263,0.605846,0.00521153,0.613947,0.0,0.0,0.0,0.0,0.015201899999999999,0.600474,0.053336299999999996,0.7065300000000001,0.07875889999999999,0.799287,0.0352417,0.306184,0.0478342,0.30067499999999997,0.0,0.0,0.0,0.0,0.11686,0.7965019999999999,0.11141799999999999,0.793817,0.0769021,0.821058,0.0,0.0,0.0,0.0,0.0,0.0
0.0533905,0.317187,0.00517923,0.401532,0.00518709,0.40418000000000004,0.00518722,0.5050300000000001,0.0,0.0,0.0206912,0.401455,0.026082499999999998,0.5050009999999999,0.0641607,0.5676500000000001,0.00518384,0.6085119999999999,0.00521408,0.6139819999999999,0.0,0.0,0.0,0.0,0.0225489,0.600487,0.0660246,0.706627,0.0823989,0.793752,0.049616299999999995,0.311539,0.0534075,0.308874,0.0224256,0.316944,0.0,0.0,0.11320000000000001,0.796492,0.11142099999999999,0.793843,0.07869749999999999,0.796558,0.0,0.0,0.0,0.0,0.0,0.0
0.0660954,0.319836,0.0224158,0.404202,0.0206112,0.404329,0.00519836,0.51044,0.0043016800000000004,0.613946,0.0315319,0.401555,0.035101,0.513193,0.0714983,0.570342,0.022524,0.6085079999999999,0.0152059,0.611277,0.08060429999999999,0.7202029999999999,0.134931,0.8591019999999999,0.0352298,0.600474,0.0805837,0.7120839999999999,0.12415000000000001,0.842907,0.0606014,0.314227,0.0,0.0,0.0369196,0.319795,0.0,0.0,0.16405599999999998,0.859146,0.16578299999999999,0.8537239999999999,0.12050899999999999,0.864595,0.17493,0.8592219999999999,0.165831,0.870035,0.127775,0.8728079999999999
0.08048519999999999,0.32254099999999997,0.036966599999999995,0.409711,0.0297252,0.417821,0.00517655,0.513114,0.0206072,0.616752,0.047899,0.406989,0.0496488,0.524118,0.0805787,0.5785159999999999,0.0424451,0.608556,0.0370176,0.616657,0.09687119999999999,0.7148359999999999,0.138586,0.8619749999999999,0.0514778,0.6030909999999999,0.0950408,0.714776,0.125906,0.8401639999999999,0.0696705,0.31424599999999997,0.0787843,0.31421699999999997,0.049607,0.319834,0.0,0.0,0.176746,0.8591219999999999,0.0,0.0,0.0,0.0,0.18398299999999998,0.864637,0.171293,0.880864,0.136744,0.880879
0.0932417,0.322468,0.0497069,0.412369,0.040621899999999996,0.417885,0.0224959,0.5132289999999999,0.03336,0.6139939999999999,0.060557099999999996,0.406981,0.062364899999999994,0.529505,0.08236339999999999,0.592167,0.062358899999999995,0.603179,0.0533651,0.608583,0.10962000000000001,0.709467,0.14223000000000002,0.861993,0.0660765,0.600444,0.109569,0.709309,0.136783,0.842799,0.0806548,0.31426299999999996,0.0,0.0,0.0569377,0.325186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187607,0.880815,0.17674299999999998,0.8837579999999999,0.138606,0.880941
0.104154,0.31710499999999997,0.0587786,0.401605,0.0569458,0.404344,0.0352416,0.513099,0.0478774,0.608499,0.0605818,0.398737,0.0,0.0,0.0,0.0,0.0661093,0.605795,0.0733152,0.608565,0.124177,0.709309,0.145867,0.8619739999999999,0.062397799999999996,0.603071,0.033300199999999995,0.714773,0.0051937400000000005,0.7584329999999999,0.0950418,0.311494,0.0,0.0,0.0714651,0.31699299999999997,0.0,0.0,0.00520955,0.777496,0.00519891,0.7775000000000001,0.00519774,0.7557119999999999,0.19309199999999999,0.8836759999999999,0.182136,0.8891009999999999,0.138602,0.880884
