LAnkle,LAnkle,RAnkle,RAnkle,LElbow,LElbow,RElbow,RElbow,LBigToe,LBigToe,RBigToe,RBigToe,Hand-Left,Hand-Left,Hand-Right,Hand-Right,Nose,Nose,LHip,LHip,RHip,RHip,MidHip,MidHip,LKnee,LKnee,RKnee,RKnee,Neck,Neck,LShoulder,LShoulder,RShoulder,RShoulder,Spine,Spine,LWrist,LWrist,RWrist,RWrist,REye,LEye,LEar,REar,LSmallToe,RSmallToe,RHeel,LHeel
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,,,,,,,,
-0.18406879999999998,-0.8201475,0.1983598,-0.8099295,-0.2645982,0.01900714,-0.03210079,0.08687723,-0.2235172,-0.8637609,0.2031269,-0.8943437,-0.20303339999999998,-0.15125529999999998,-0.05089959,-0.1899501,-0.20473070000000002,0.615224,-0.1816161,-0.11904669999999999,-0.09636711,-0.1024172,-0.1380674,-0.05611426,-0.17022089999999998,-0.5144770000000001,-0.03225999,-0.530699,-0.1127866,0.43286009999999997,-0.21622310000000003,0.2269625,-0.08335575,0.3399605,-0.12852739999999999,0.02281109,-0.17624520000000002,-0.10080019999999999,-0.04398277,-0.1314305,0,0,0,0,0,0,0,0
-0.16240020000000002,-0.8253643,0.19583050000000002,-0.7917424,-0.34261679999999994,0.07423824,-0.02784099,0.08880916,-0.2060982,-0.8675023000000001,0.20652220000000002,-0.873725,-0.28104109999999993,-0.09600345,-0.04909527,-0.17495850000000002,-0.20573699999999998,0.677912,-0.197695,-0.0706576,-0.09844258,-0.07262594,-0.1527076,-0.00766376,-0.1430818,-0.4788299,-0.08245746,-0.532045,-0.1879065,0.4766657,-0.29134299999999996,0.27076809999999996,-0.08305148,0.3410796,-0.1456929,0.07197869999999999,-0.2542638,-0.04556911,-0.043284300000000005,-0.11635519999999999,0,0,0,0,0,0,0,0
-0.106876,-0.8234813,0.1938331,-0.7924848000000001,-0.27522070000000004,0.04008742,-0.02518601,0.09092268,-0.1677338,-0.8937771000000001,0.18380239999999998,-0.8716535,-0.14770940000000002,-0.07901626,-0.04880057,-0.1733954,-0.202701,0.6243155,-0.1894035,-0.08050542,-0.1026027,-0.09058606,-0.1436853,-0.03252404,-0.1452944,-0.47419520000000004,-0.0461639,-0.5433935999999999,-0.1268847,0.433957,-0.2303212,0.2280594,-0.07842685,0.3438051,-0.12848489999999999,0.0455805,-0.1795872,-0.04924034,-0.03931991,-0.11185330000000002,0,0,0,0,0,0,0,0
-0.07850432,-0.8289155999999999,0.16885,-0.7781575,-0.31218870000000004,0.07322864,-0.007053167,0.0947054,-0.1201864,-0.9029067,0.15125429999999998,-0.8569867,-0.2620263,-0.1551766,-0.04576394,-0.17850929999999998,-0.1960047,0.6693182,-0.1878969,-0.08317151,-0.08059523,-0.07053994,-0.13720829999999998,-0.022433099999999997,-0.15245,-0.47804179999999996,-0.04522967,-0.5378246999999999,-0.163853,0.4670968,-0.2672895,0.26119929999999997,-0.07485781,0.34472929999999996,-0.1294509,0.05717864,-0.23526979999999997,-0.10478130000000001,-0.03624449,-0.1176904,0,0,0,0,0,0,0,0
-0.04425143,-0.8415959999999999,0.16273529999999997,-0.7706850000000001,-0.2401695,0.06447189,-0.005050253,0.09194946,-0.09196548,-0.8813126,0.10898119999999999,-0.864772,-0.24553179999999997,-0.1705735,-0.03748657,-0.1931476,-0.1674901,0.6956158,-0.1766935,-0.07762058,-0.06888318,-0.06010541,-0.1240444,-0.01730446,-0.07290635,-0.45582559999999994,-0.1122743,-0.4948152,-0.1222411,0.49718,-0.2256775,0.2912824,-0.06243499,0.34488979999999997,-0.11119000000000001,0.06393778,-0.2247214,-0.11561279999999999,-0.03896917,-0.1350517,0,0,0,0,0,0,0,0
0.01896836,-0.8388097,0.1589734,-0.7752593000000001,-0.2350741,0.03804187,0.01382868,0.09076491,-0.06757654,-0.9033329,0.07133237,-0.8463460999999999,-0.2233953,-0.1997616,-0.03765919,-0.2022187,-0.1743313,0.6895766999999999,-0.1655883,-0.1006799,-0.06708066,-0.06105316,-0.11715260000000001,-0.02778212,-0.0387384,-0.4871365,-0.1135323,-0.49389399999999994,-0.11507550000000001,0.4943936,-0.21851199999999998,0.28849600000000003,-0.05139197,0.3422873,-0.10294260000000001,0.05575692,-0.21316999999999997,-0.1219007,-0.03545282,-0.1432474,0,0,0,0,0,0,0,0
0.03161145,-0.7827439,0.1394112,-0.7519357,-0.202207,0.04095086,0.02787916,0.09060249,-0.03508486,-0.878193,0.05236866,-0.8291729999999999,-0.20766550000000003,-0.16242479999999998,-0.02519264,-0.20280979999999998,-0.1764344,0.6759066,-0.1578766,-0.1027165,-0.06701697,-0.06197269,-0.11212960000000001,-0.03179966,-0.02589968,-0.49711120000000003,-0.11857839999999999,-0.48830559999999995,-0.06795482,0.5015948,-0.17139129999999997,0.2956972,-0.03560276,0.3432884,-0.09268793,0.05183827,-0.2004952,-0.1119771,-0.02857254,-0.14486960000000002,0,0,0,0,0,0,0,0
0.07737058,-0.8489002,0.001787345,-0.8361417999999999,-0.2027995,0.04072255,0.03784995,0.08964515,0.03057631,-0.8886798,-0.0816794,-0.8865026,-0.2073433,-0.15993139999999997,0.001440214,-0.2009015,-0.1725378,0.6785594,-0.1506836,-0.1042497,-0.06315280000000001,-0.06667992,-0.10702,-0.03301118,-0.00683172,-0.5215383,-0.11808010000000002,-0.48769799999999996,-0.06964479999999999,0.501212,-0.1730813,0.29531440000000003,-0.02690676,0.3425028,-0.08776043,0.05138964,-0.1928124,-0.1113615,-0.02670792,-0.15152120000000002,0,0,0,0,0,0,0,0
0.09318278,-0.8543311,-0.0652587,-0.8418103000000001,-0.1964226,0.03943805,0.05333496,0.09269425,0.05981474,-0.9337074000000001,-0.1360776,-0.8828591999999998,-0.1980568,-0.159532,0.0152764,-0.2036509,-0.1594345,0.6823359999999999,-0.1224638,-0.10812830000000001,-0.05140461,-0.06645446,-0.08589621,-0.03303475,-0.03549083,-0.4930268,-0.1272072,-0.48620169999999996,-0.06571849,0.5001317,-0.169155,0.2942342,-0.01829633,0.34374099999999996,-0.06658158,0.05192532,-0.1824225,-0.11226300000000002,0.02127954,-0.1456044,0,0,0,0,0,0,0,0
0.14102089999999998,-0.8402294,-0.12672550000000002,-0.8337832000000001,-0.1952439,0.03823623,0.06635531,0.09415859,0.08114748,-0.9025519000000001,-0.1904019,-0.8875618000000001,-0.18340410000000001,-0.1676675,0.03445328,-0.2046241,-0.1439568,0.6863412,-0.1161624,-0.08141835,-0.041354300000000004,-0.06125793,-0.07865277,-0.023206,-0.04560719,-0.4965242,-0.1713752,-0.4858554,-0.06480423,0.49890439999999997,-0.16824070000000002,0.2930069,-0.006217899999999999,0.3452914,-0.06081286,0.05847679,-0.1740743,-0.11382429999999999,0.02736815,-0.14680929999999998,0,0,0,0,0,0,0,0
0.1619359,-0.8266025,-0.1828155,-0.8210381,-0.17813489999999998,0.03481072,0.0735688,0.09304130000000001,0.121456,-0.9031415999999999,-0.2560144,-0.8861515,-0.17588570000000003,-0.1756315,0.04728508,-0.2130908,-0.1331042,0.6814868000000001,-0.1153161,-0.07070915,-0.03744626,-0.05115284,-0.07372513,-0.007364966999999999,-0.04276891,-0.4936968,-0.16649339999999999,-0.47698609999999997,-0.04880609,0.495338,-0.1522426,0.28944040000000004,0.0031745590000000004,0.3449171,-0.0529437,0.07080058,-0.1425491,-0.1085402,0.04816759,-0.1546835,0,0,0,0,0,0,0,0
0.2060424,-0.8419359000000001,-0.21376079999999997,-0.8158914,-0.16381089999999998,0.04183652,0.08752764,0.09043129999999999,0.1773509,-0.9223981,-0.30970929999999997,-0.8758054,-0.16009600000000002,-0.16699920000000001,0.06104593,-0.21654310000000002,-0.1371281,0.6780144,-0.10342439999999999,-0.07419731,-0.02821634,-0.05002605,-0.06369057,-0.01187199,0.08241235,-0.48523590000000005,-0.15477449999999998,-0.42597399999999996,-0.03436087,0.5022012,-0.1377974,0.29630359999999994,0.01368797,0.3412342,-0.04154059,0.0684206,-0.1419027,-0.1108579,0.06106018,-0.1581992,0,0,0,0,0,0,0,0
0.24196729999999997,-0.8342197,-0.2337585,-0.8169433,-0.1588124,0.038024199999999994,0.09360123,0.0893932,0.23724970000000004,-0.9184626,-0.3221447,-0.8704578000000002,-0.15681789999999998,-0.1777562,0.07562,-0.21673070000000003,-0.10717470000000001,0.684036,-0.10343279999999999,-0.07421139,-0.02654128,-0.05010035,-0.06309147,-0.01257991,0.08966503,-0.4870268,-0.1502351,-0.43148149999999996,-0.02931744,0.4983205,-0.1327539,0.29242290000000004,0.01884804,0.3397345,-0.04024437,0.06744606,-0.1326382,-0.12886489999999998,0.07715739,-0.1582552,0,0,0,0,0,0,0,0
0.27696020000000005,-0.8317357,-0.2351276,-0.8188655,-0.1548171,0.03386771,0.10169650000000001,0.09117246,0.2359902,-0.9073851999999999,-0.3256018,-0.8692979999999999,-0.1528954,-0.17355009999999998,0.08600754,-0.21397729999999998,-0.09732626,0.6840219,-0.09489574,-0.07763305,-0.01549691,-0.05011696,-0.05293831,-0.01491447,0.1075673,-0.4885916,-0.14172970000000001,-0.43567609999999996,-0.02532311,0.4941371,-0.1287596,0.2882395,0.02125695,0.3393587,-0.03173104,0.06542613,-0.12547260000000002,-0.12517899999999998,0.09067495,-0.15558450000000001,0,0,0,0,0,0,0,0
0.2785347,-0.7974274,-0.23359290000000002,-0.8176923,-0.135001,0.02787239,0.1099698,0.08345029,0.2305911,-0.8365575000000001,-0.326221,-0.8692328000000001,-0.1360929,-0.1745754,0.09459329,-0.2151862,-0.09696410000000001,0.6703157,-0.09559864,-0.07818963,-0.01738348,-0.056183800000000006,-0.05386646,-0.02129715,0.01999031,-0.506488,-0.1340687,-0.43597250000000004,-0.005478864,0.4881076,-0.1089153,0.28221,0.02994501,0.3318244,-0.02858071,0.05950015,-0.1048414,-0.1271308,0.1014128,-0.1569491,0,0,0,0,0,0,0,0
