LAnkle,LAnkle,RAnkle,RAnkle,LElbow,LElbow,RElbow,RElbow,LBigToe,LBigToe,RBigToe,RBigToe,Hand-Left,Hand-Left,Hand-Right,Hand-Right,Nose,Nose,LHip,LHip,RHip,RHip,MidHip,MidHip,LKnee,LKnee,RKnee,RKnee,Neck,Neck,LShoulder,LShoulder,RShoulder,RShoulder,Spine,Spine,LWrist,LWrist,RWrist,RWrist,REye,LEye,LEar,REar,LSmallToe,RSmallToe,RHeel,LHeel
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,,,,,,,,
0.1542499,-0.7517494,0.2880866,-0.7509639,0.0407219,0.06362468,0.30031959999999996,0.13364890000000001,0.1484286,-0.8419323000000001,0.21260610000000002,-0.8261001,0.05957356,-0.21221929999999997,0.2591663,-0.1579566,0.109021,0.6006262,0.1247894,-0.03951609,0.1813586,-0.02967976,0.1552447,0.004726248,0.09927069,-0.4003335,0.22373249999999997,-0.47709700000000005,0.1847759,0.42370159999999996,0.07079703,0.3117775,0.2218681,0.36951209999999995,0.1845185,0.07200775,0.08990696,-0.1372255,0.271977,-0.07818823,0,0,0,0,0,0,0,0
0.2019393,-0.7518603,0.29146479999999997,-0.7643641999999999,0.04954404,0.07024886,0.3075522,0.1346191,0.1716071,-0.8246396,0.25870479999999996,-0.8308831,0.2598915,-0.09675111,0.2653028,-0.1540508,0.1168068,0.6055053,0.1447963,-0.04513471,0.2091109,-0.03081849,0.17807989999999999,0.0027508040000000004,0.10465039999999999,-0.4089494,0.2926415,-0.48662829999999996,0.1935924,0.4302791,0.07961354,0.31835490000000005,0.22728620000000002,0.36898909999999996,0.2032922,0.07252794,0.23119650000000003,-0.04604945,0.276591,-0.08127943,0,0,0,0,0,0,0,0
0.16037579999999999,-0.7757082,0.3658127,-0.7421663000000001,0.1993162,0.120922,0.31520640000000005,0.1336493,0.1171383,-0.8414654,0.31769179999999997,-0.8166366,0.3738867,-0.12360519999999998,0.2783123,-0.1455445,0.1272454,0.6110912,0.166943,-0.07089727,0.2416649,-0.05870793,0.2048492,-0.02509888,0.1032335,-0.4242026,0.31954340000000003,-0.4323821,0.2050525,0.438587,0.09107368,0.32666290000000003,0.23715970000000003,0.3690021,0.2262638,0.05419939,0.3419523,-0.07447422,0.2976232,-0.06727242,0,0,0,0,0,0,0,0
0.09759068,-0.7655006999999999,0.40729440000000006,-0.7548505,0.20726370000000002,0.13784470000000001,0.3240643,0.13479100000000002,0.02525959,-0.820375,0.3579742,-0.8300373,0.3808637,-0.1085068,0.2860591,-0.1386061,0.1375569,0.618134,0.1802453,-0.06108391,0.2491342,-0.05753959,0.2134958,-0.02348503,0.1056447,-0.41395519999999997,0.33568190000000003,-0.4299638,0.2173694,0.4588439,0.1033905,0.3469197,0.24551320000000001,0.37001740000000005,0.23587660000000002,0.05631168,0.3487755,-0.06049304,0.2993388,-0.06706684,0,0,0,0,0,0,0,0
0.05370306,-0.7569304,0.44899140000000004,-0.7660531999999999,0.2212199,0.2385066,0.3344525,0.13077260000000002,-0.03896083,-0.8093132,0.401929,-0.8313705,0.3690569,-0.04365091,0.2887922,-0.1395175,0.15446629999999997,0.6547198000000001,0.1908957,-0.05163068,0.2735361,-0.04333857,0.23238029999999998,-0.009073114,0.10789030000000001,-0.4131179,0.37823920000000005,-0.4335741,0.2383812,0.5367029000000001,0.12440230000000001,0.4247787,0.25695419999999997,0.36658509999999994,0.25845500000000005,0.07959475,0.3353085,0.02544624,0.3039075,-0.06530648,0,0,0,0,0,0,0,0
0.02285566,-0.7587098000000001,0.49898240000000005,-0.7657590999999999,0.23333579999999998,0.2129869,0.3421685,0.1271244,-0.05060936,-0.8030665,0.4572429,-0.8329794,0.3459384,-0.05483836,0.2979612,-0.144778,0.1648397,0.6554218,0.2016396,-0.048813,0.2808833,-0.04107206,0.2405423,-0.005264075,0.11836780000000001,-0.4223019,0.40584590000000004,-0.4705308,0.24344320000000003,0.533623,0.1294643,0.42169880000000004,0.2676761,0.3636499,0.2645906,0.08197668,0.3561449,0.001242757,0.3082904,-0.07048508,0,0,0,0,0,0,0,0
0.0185257,-0.7557283,0.522791,-0.7574681999999999,0.24314629999999998,0.2111146,0.34851940000000003,0.12467690000000001,-0.05207248,-0.7969742,0.5073409000000001,-0.835118,0.3502063,-0.05282862,0.30525759999999996,-0.1330974,0.1741655,0.6528876,0.2111192,-0.04600307,0.288731,-0.03823186,0.24922719999999998,-0.003407055,0.1271737,-0.4244353,0.41635950000000005,-0.4682598,0.25325770000000003,0.5317427,0.13927879999999998,0.4198186,0.285868,0.36206259999999996,0.2730735,0.08347759,0.36665529999999996,0.0007339566999999999,0.3230302,-0.05438672,0,0,0,0,0,0,0,0
0.01786368,-0.7564996999999999,0.5710714,-0.7466023,0.2536503,0.2023114,0.35581999999999997,0.11860129999999999,-0.05243128,-0.7969970000000001,0.5388705,-0.8256015,0.3548111,-0.05797103,0.3015467,-0.1475991,0.1877875,0.6467797,0.2158824,-0.04703239,0.3013711,-0.04088221,0.2582,-0.006100859,0.13519089999999997,-0.4209590999999999,0.4364378,-0.4183428,0.2637737,0.5229152,0.14979479999999998,0.4109911,0.2957877,0.35948979999999997,0.282289,0.08021398,0.3797702,-0.006098151,0.3225563,-0.07727978,0,0,0,0,0,0,0,0
0.06610517,-0.7491729,0.5984071,-0.7495478,0.2657275,0.1999886,0.36052540000000005,0.1153078,-0.02919606,-0.7968835999999999,0.5854472,-0.827625,0.3798514,-0.06483586,0.30128309999999997,-0.15376529999999997,0.1995233,0.644204,0.2278146,-0.05072289,0.30801890000000004,-0.04546668,0.2681757,-0.01106005,0.1412423,-0.4216672000000001,0.46435059999999995,-0.46592740000000005,0.2758629,0.5205684,0.161884,0.40864429999999996,0.3018984,0.35608259999999997,0.29313979999999995,0.07585369,0.3896913,-0.009264022,0.3246385,-0.07677595,0,0,0,0,0,0,0,0
