Nose,Nose,Neck,Neck,RShoulder,RShoulder,RElbow,RElbow,RWrist,RWrist,LShoulder,LShoulder,LElbow,LElbow,LWrist,LWrist,MidHip,MidHip,RHip,RHip,RKnee,RKnee,RAnkle,RAnkle,LHip,LHip,LKnee,LKnee,LAnkle,LAnkle,REye,REye,LEye,LEye,REar,REar,LEar,LEar,LBigToe,LBigToe,LSmallToe,LSmallToe,LHeel,LHeel,RBigToe,RBigToe,RSmallToe,RSmallToe,RHeel,RHeel
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-0.1946153,0.9507237,-0.1225912,0.7646357,-0.04793725,0.6106147,-0.05863238,0.3256595,-0.1376687,0.09419984,-0.2187657,0.6511588,-0.1962905,0.5264519,-0.214363,0.2928922,-0.12316150000000001,0.1982484,-0.06964822,0.16843010000000003,0.001990817,-0.302588,0.2738377,-0.6277560000000001,-0.1735259,0.1520715,-0.19002850000000002,-0.290013,-0.2520322,-0.6286003000000001,0,0,0,0,0,0,0,0,-0.3494383,-0.6715789000000001,0,0,0,0,0.2289897,-0.6920829000000001,0,0,0,0
-0.15973610000000002,0.9554582,-0.08318449,0.7712836999999999,-0.03408301,0.6125052,-0.03342678,0.33305359999999995,-0.10674020000000001,0.08994567,-0.1793589,0.6578069000000001,-0.1568839,0.5331011,-0.1749562,0.29954250000000004,-0.08710776,0.1831101,-0.04304879,0.1608046,0.07453045,-0.2999536,0.3009166,-0.6286705,-0.1332336,0.1290431,-0.1534811,-0.3096177,-0.21468360000000003,-0.6433685,0,0,0,0,0,0,0,0,-0.2569057,-0.6961335999999999,0,0,0,0,0.24980429999999998,-0.6884458999999999,0,0,0,0
-0.1421011,0.9563872999999999,-0.06505402,0.7727774000000001,0.004217558,0.6161131999999999,-0.006765645,0.33733670000000004,-0.07339385,0.0976891,-0.1612284,0.6593004,-0.1387535,0.5345954,-0.1568257,0.3010375,-0.06867501,0.1869214,-0.01446122,0.1639496,0.07157367,-0.2965368,0.3174964,-0.6060371999999999,-0.1213845,0.13110070000000001,-0.112097,-0.2894756,-0.1489959,-0.6352161999999999,0,0,0,0,0,0,0,0,-0.207434,-0.6875621999999999,0,0,0,0,0.3232216,-0.6832606999999999,0,0,0,0
-0.09498296,0.8906991,-0.02647313,0.7005899999999999,0.02456305,0.6161848000000001,0.03279651,0.33708119999999997,-0.05041442,0.09934142,-0.12264749999999999,0.5871130999999999,-0.10017369999999999,0.4624137,-0.11824449999999999,0.2288627,-0.04541929,0.170802,-8.943165000000001e-05,0.1528129,0.03547224,-0.27017129999999995,0.3092466,-0.5934313,-0.089449,0.1030268,-0.09221851,-0.3092103,-0.08881668,-0.642828,0,0,0,0,0,0,0,0,-0.1334635,-0.7075883000000001,0,0,0,0,0.32514190000000004,-0.6693578,0,0,0,0
-0.07964121,0.9087610999999999,0.001376222,0.726051,0.04570882,0.6182667,0.06370505,0.34777440000000004,-0.002739376,0.1136252,-0.09479819,0.6125742,-0.07232539,0.48788059999999994,-0.09039491,0.2543366,-0.01833163,0.1733043,0.03032186,0.1586898,0.03436152,-0.2660706,0.3157366,-0.5828938,-0.06428463,0.1162201,-0.05567491,-0.39635840000000006,-0.04259813,-0.7142973000000001,0,0,0,0,0,0,0,0,-0.11771400000000001,-0.6945391,0,0,0,0,0.32710259999999997,-0.6633968000000001,0,0,0,0
-0.0496591,0.962131,0.03269352,0.7846897,0.07112829,0.6085,0.08646039999999999,0.3406637,0.009232317,0.1139663,-0.06348089999999999,0.6712128,-0.04100854,0.5465217,-0.05907751,0.3129805,-0.001139896,0.22141390000000002,0.03486975,0.18042120000000003,0.03518743,-0.2585525,0.3168347,-0.5753293,-0.04448313,0.16732360000000002,-0.03165194,-0.3581517,0.02309883,-0.6716483,0,0,0,0,0,0,0,0,-0.0530678,-0.6911275,0,0,0,0,0.3138953,-0.6711191999999999,0,0,0,0
-0.03070254,0.9661652000000001,0.04827088,0.7871068,0.1112692,0.6242286,0.1210606,0.350159,0.04782938,0.11062770000000001,-0.04790354,0.6736299,-0.02543171,0.5489417,-0.04350003,0.3154038,0.01005977,0.2186756,0.05217989,0.18627829999999998,0.038808300000000004,-0.2603727,0.3169475,-0.5816326,-0.03600796,0.16526970000000002,0.12648869999999998,-0.22069499999999997,0.0703086,-0.6206289,0,0,0,0,0,0,0,0,0.02679807,-0.6852895999999999,0,0,0,0,0.2904312,-0.6670165,0,0,0,0
0.00117445,0.9669479999999999,0.07437761,0.7839178000000001,0.1230797,0.6242986,0.1485277,0.3527672,0.05722241,0.10473980000000001,-0.02179681,0.6704409,0.0006745811999999999,0.5457553,-0.01739315,0.31222059999999996,0.05822568,0.20147379999999998,0.101903,0.17842629999999998,0.04573974,-0.2791268,0.2730953,-0.5919469,0.01112297,0.14684460000000002,0.14366389999999998,-0.23409670000000002,0.15084460000000002,-0.6546484,0,0,0,0,0,0,0,0,0.08156685,-0.7032503000000001,0,0,0,0,0.23533539999999997,-0.6765141,0,0,0,0
0.03053332,0.9709007,0.1091025,0.787872,0.1576184,0.6229670999999999,0.1775437,0.3539366,0.08328073,0.09836538,0.01292804,0.6743951,0.03539947,0.5497091,0.008800196,0.3361068,0.07570817,0.19779929999999998,0.12171869999999999,0.1717688,0.05332852,-0.28598959999999995,0.23748110000000003,-0.6072558000000001,0.02703482,0.14483,0.1858366,-0.2624317,0.1406991,-0.6497279,0,0,0,0,0,0,0,0,0.08721042,-0.7016851,0,0,0,0,0.1822532,-0.6912385,0,0,0,0
0.05503929,0.9709245000000001,0.13246529999999998,0.7877746999999999,0.181062,0.625537,0.19912760000000002,0.35398579999999996,0.1014244,0.09875254,0.03629088,0.6742977,0.05876219,0.5496126,0.0253014,0.3485717,0.13013980000000003,0.2117362,0.1770381,0.1858344,0.0473488,-0.2711542,0.2082636,-0.6479763000000001,0.0814353,0.15816670000000002,0.1964844,-0.26666090000000003,0.2911655,-0.5880184,0,0,0,0,0,0,0,0,0.24444570000000004,-0.6457421,0,0,0,0,0.12411580000000001,-0.7082149999999999,0,0,0,0
0.08479057,0.9675241,0.1637345,0.7855821,0.20285160000000002,0.622355,0.23018160000000001,0.35162940000000004,0.14974749999999998,0.1077285,0.06756007,0.6721052,0.09003147,0.5474194,0.04161874,0.3497895,0.16364520000000002,0.254941,0.1916952,0.19705899999999998,0.04769358,-0.2716547,0.2014726,-0.651188,0.1255182,0.21417070000000005,0.21904899999999997,-0.279961,0.2958466,-0.6383045999999999,0,0,0,0,0,0,0,0,0.24913139999999998,-0.6960225999999999,0,0,0,0,0.12246520000000001,-0.7012138000000001,0,0,0,0
