Nose,Nose,Neck,Neck,RShoulder,RShoulder,RElbow,RElbow,RWrist,RWrist,LShoulder,LShoulder,LElbow,LElbow,LWrist,LWrist,MidHip,MidHip,RHip,RHip,RKnee,RKnee,RAnkle,RAnkle,LHip,LHip,LKnee,LKnee,LAnkle,LAnkle,REye,REye,LEye,LEye,REar,REar,LEar,LEar,LBigToe,LBigToe,LSmallToe,LSmallToe,LHeel,LHeel,RBigToe,RBigToe,RSmallToe,RSmallToe,RHeel,RHeel
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.269373,0.172623,0.225705,0.270611,0.20033199999999998,0.267944,0.173084,0.40435699999999997,0.17310699999999998,0.537746,0.24934199999999998,0.27084199999999997,0.252942,0.404252,0.28926599999999997,0.483241,0.21664000000000003,0.5186339999999999,0.21667699999999998,0.521339,0.280141,0.671199,0.31470899999999996,0.850973,0.21667699999999998,0.515976,0.16577799999999998,0.665677,0.10782000000000001,0.8156359999999999,0.258447,0.159056,0.269242,0.158996,0.225685,0.167297,0.0,0.0,0.158605,0.8537429999999999,0.151365,0.8455100000000001,0.0932866,0.837291,0.369089,0.8591949999999999,0.356384,0.870049,0.312793,0.872776
0.269373,0.170019,0.225704,0.270609,0.20033199999999998,0.267944,0.17307799999999998,0.40435299999999996,0.173123,0.537752,0.24934099999999998,0.27084,0.25293699999999997,0.40425099999999997,0.28926599999999997,0.483234,0.214884,0.5186339999999999,0.21667699999999998,0.521339,0.28013899999999997,0.671203,0.314708,0.850968,0.21667699999999998,0.515975,0.165773,0.665701,0.10782599999999999,0.815631,0.258446,0.159055,0.269246,0.158993,0.225685,0.167298,0.0,0.0,0.158596,0.853734,0.151356,0.845507,0.0932972,0.837279,0.367326,0.8591989999999999,0.354647,0.8700439999999999,0.31279599999999996,0.8727729999999999
0.283783,0.164622,0.23849,0.267989,0.213083,0.26792499999999997,0.184031,0.40698599999999996,0.183999,0.540395,0.260242,0.270627,0.265609,0.40422399999999997,0.300128,0.480537,0.22758499999999998,0.513162,0.223914,0.513235,0.289263,0.665677,0.31832299999999997,0.845594,0.238442,0.5105149999999999,0.18034699999999998,0.64941,0.111397,0.804709,0.27109,0.153636,0.282083,0.14819000000000002,0.238443,0.16458499999999998,0.0,0.0,0.164007,0.853671,0.156765,0.840216,0.0950641,0.82106,0.370981,0.861889,0.358267,0.872782,0.31280399999999997,0.867355
0.296598,0.16186399999999998,0.252963,0.262546,0.227536,0.257189,0.198532,0.40150399999999997,0.198489,0.52956,0.274759,0.265302,0.27832799999999996,0.401387,0.31277499999999997,0.47779000000000005,0.240306,0.5104759999999999,0.242054,0.513165,0.29842199999999997,0.6575949999999999,0.32370499999999996,0.85104,0.24389799999999998,0.510442,0.185795,0.6521429999999999,0.12048299999999999,0.796461,0.283887,0.145469,0.298264,0.14283,0.252929,0.161885,0.0,0.0,0.162189,0.8563729999999999,0.154941,0.8455769999999999,0.104153,0.812819,0.372759,0.8619549999999999,0.36002799999999996,0.87282,0.312891,0.8701089999999999
0.311033,0.16163000000000002,0.26567199999999996,0.251808,0.240275,0.2518,0.211315,0.401509,0.21303899999999998,0.534893,0.28567000000000004,0.254371,0.28743799999999997,0.401439,0.325544,0.477767,0.256589,0.510464,0.252956,0.5131479999999999,0.311021,0.663028,0.323708,0.8537129999999999,0.267462,0.510412,0.20396599999999998,0.6493800000000001,0.12775799999999998,0.7909809999999999,0.298311,0.142656,0.311025,0.14006000000000002,0.26564499999999996,0.159048,0.0,0.0,0.165845,0.853684,0.160415,0.842869,0.111387,0.796589,0.363653,0.861995,0.35279499999999997,0.8728119999999999,0.312845,0.8700589999999999
0.325476,0.15629,0.278387,0.251666,0.25474399999999997,0.251672,0.227603,0.398756,0.22940000000000002,0.529574,0.29836,0.251701,0.301988,0.396057,0.332795,0.477747,0.26750599999999997,0.505058,0.269267,0.510386,0.314664,0.660333,0.325488,0.8537159999999999,0.26568,0.505039,0.225789,0.649397,0.140435,0.774744,0.31278,0.139986,0.323715,0.139872,0.278367,0.150865,0.0,0.0,0.158572,0.84557,0.15315199999999998,0.8401489999999999,0.12412000000000001,0.7774949999999999,0.360085,0.861883,0.352761,0.870058,0.312917,0.870045
0.33647499999999997,0.150858,0.287418,0.248864,0.26748299999999997,0.248906,0.242087,0.39062199999999997,0.251102,0.5322279999999999,0.309243,0.24891000000000002,0.309236,0.38237499999999996,0.340101,0.46692799999999995,0.281952,0.49685799999999997,0.280144,0.50229,0.32548299999999997,0.662933,0.323772,0.85367,0.285619,0.494168,0.25479799999999997,0.646718,0.156798,0.763775,0.325575,0.13987000000000002,0.336458,0.137298,0.28926199999999996,0.14540899999999998,0.0,0.0,0.162222,0.8400559999999999,0.158597,0.8346929999999999,0.14044299999999998,0.769216,0.36186199999999996,0.8619479999999999,0.352759,0.8727429999999999,0.312882,0.8673679999999999
0.345545,0.14551899999999998,0.298344,0.246219,0.281985,0.24626299999999998,0.256634,0.387913,0.269229,0.529471,0.31646399999999997,0.246216,0.316504,0.382357,0.352774,0.46957899999999997,0.296481,0.49136199999999997,0.287472,0.491452,0.327437,0.663113,0.323743,0.8537659999999999,0.303759,0.48872299999999996,0.271096,0.6602469999999999,0.171292,0.761068,0.33824699999999996,0.137159,0.0,0.0,0.300186,0.142817,0.0,0.0,0.167731,0.8428129999999999,0.167651,0.837391,0.15495299999999998,0.763795,0.36187199999999997,0.861927,0.352755,0.8727509999999999,0.31285,0.8700439999999999
0.35650699999999996,0.14546,0.311011,0.24348899999999998,0.292855,0.243527,0.276546,0.387936,0.287469,0.526783,0.327415,0.243448,0.327359,0.382446,0.35644499999999996,0.46677199999999996,0.31107599999999996,0.494168,0.300201,0.496884,0.329264,0.6739419999999999,0.325527,0.8590789999999999,0.323715,0.491461,0.28928899999999996,0.66566,0.19486699999999998,0.752935,0.349138,0.131826,0.356435,0.137198,0.312822,0.142672,0.0,0.0,0.19484,0.837353,0.194844,0.829217,0.178566,0.7529,0.36367099999999997,0.8620059999999999,0.352801,0.8754949999999999,0.312911,0.875463
0.369156,0.14285499999999998,0.318305,0.23532799999999998,0.301985,0.23807399999999998,0.294684,0.390569,0.31107799999999997,0.518644,0.334621,0.232649,0.33466199999999996,0.374218,0.361865,0.45325499999999996,0.320081,0.488722,0.309201,0.491452,0.338263,0.668543,0.325532,0.8591489999999999,0.33098000000000005,0.48861000000000004,0.320098,0.663006,0.220271,0.750315,0.358217,0.131765,0.0,0.0,0.325499,0.139975,0.0,0.0,0.218489,0.826461,0.21848499999999998,0.818329,0.202141,0.752838,0.36546599999999996,0.8646659999999999,0.354555,0.878195,0.312917,0.8754600000000001
0.37819,0.142674,0.327439,0.22997,0.312925,0.23532000000000003,0.309166,0.38519000000000003,0.32918000000000003,0.507689,0.341951,0.22980199999999998,0.349139,0.363349,0.36904699999999996,0.453294,0.32371000000000005,0.48320599999999997,0.309231,0.48591599999999996,0.33824299999999996,0.668549,0.325519,0.85916,0.338217,0.477798,0.352761,0.644069,0.24390099999999998,0.753053,0.369098,0.126356,0.0,0.0,0.336412,0.1399,0.0,0.0,0.256562,0.831878,0.253,0.8183579999999999,0.229342,0.755656,0.36730399999999996,0.8673019999999999,0.35459599999999997,0.8782709999999999,0.31288000000000005,0.8754679999999999
0.387246,0.142672,0.338261,0.229812,0.32734,0.23257599999999998,0.325546,0.382336,0.34553,0.48875,0.347341,0.22708000000000003,0.36005299999999996,0.355158,0.37096799999999996,0.45330699999999996,0.331018,0.47239299999999995,0.32012199999999996,0.477815,0.34013299999999996,0.663056,0.325528,0.859084,0.345501,0.469647,0.37094000000000005,0.646643,0.274763,0.766515,0.380031,0.123689,0.387231,0.12372899999999999,0.34198,0.137218,0.0,0.0,0.296481,0.823728,0.29650000000000004,0.815537,0.256611,0.771867,0.367264,0.864676,0.35454,0.878234,0.31288299999999997,0.8727800000000001
0.398227,0.142585,0.34376399999999996,0.229799,0.34002899999999997,0.232597,0.340157,0.37970699999999996,0.374571,0.47237,0.356365,0.22447599999999998,0.376374,0.352481,0.383637,0.458704,0.340064,0.47506699999999996,0.332799,0.47778899999999996,0.340062,0.665829,0.325606,0.8591169999999999,0.347339,0.472381,0.37816299999999997,0.643909,0.28198799999999996,0.752935,0.389063,0.12096000000000001,0.0,0.0,0.354603,0.13450399999999998,0.0,0.0,0.265689,0.777408,0.26203499999999996,0.774812,0.265683,0.763852,0.36907799999999996,0.864678,0.354645,0.878242,0.314669,0.872826
