LAnkle,LAnkle,RAnkle,RAnkle,LElbow,LElbow,RElbow,RElbow,LBigToe,LBigToe,RBigToe,RBigToe,Hand-Left,Hand-Left,Hand-Right,Hand-Right,Nose,Nose,LHip,LHip,RHip,RHip,MidHip,MidHip,LKnee,LKnee,RKnee,RKnee,Neck,Neck,LShoulder,LShoulder,RShoulder,RShoulder,Spine,Spine,LWrist,LWrist,RWrist,RWrist,REye,LEye,LEar,REar,LSmallToe,RSmallToe,RHeel,LHeel
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,,,,,,,,
-0.1022685,-0.605279,0.1174892,-0.5677207,-0.1660253,0.3781691,-0.02650321,0.35648670000000005,-0.17571710000000001,-0.6603685,0.07459968,-0.6573637,-0.3300998,0.6525181999999999,-0.11151760000000002,0.06126967,-0.336764,0.8494006,-0.207511,0.22478389999999998,-0.11907360000000002,0.2419855,-0.17219379999999998,0.3154157,-0.2539955,-0.24544050000000003,-0.1265325,-0.2364134,-0.2129526,0.7263609999999999,-0.30094309999999996,0.5402704,-0.08472089,0.6354118000000001,-0.1707503,0.3835301,-0.33591370000000004,0.5880446,-0.07063499,0.14039279999999998,0,0,0,0,0,0,0,0
-0.07481723,-0.6112876,0.06225536,-0.5875149000000001,-0.1657544,0.37863620000000003,-0.01229263,0.3571829,-0.14966179999999998,-0.6700794,0.009145474,-0.6595069,-0.31711409999999995,0.6517429,-0.07990873,0.03981563,-0.3232697,0.8543482,-0.1800174,0.26059629999999995,-0.0670526,0.24337729999999996,-0.139191,0.3360585,-0.0410244,-0.2154172,-0.13387770000000002,-0.24600389999999997,-0.1970168,0.7322474,-0.28435029999999994,0.5463834,-0.04561492,0.6345165,-0.1389836,0.40226,-0.3229278,0.58727,-0.05837898,0.1043025,0,0,0,0,0,0,0,0
0.05570949,-0.5351305000000001,0.009835089,-0.6033465,-0.2086823,0.3601542,0.02019341,0.35711740000000003,-0.01648673,-0.5965036,-0.06057948,-0.6647927,-0.3152052,0.6351211999999999,-0.03427063,0.05195791,-0.2901415,0.862267,-0.1407735,0.1939596,-0.04557998,0.2547295,-0.10115039999999999,0.3104643,-0.02060319,-0.238765,-0.1397339,-0.24681,-0.16351529999999997,0.7401861999999999,-0.2510279,0.5542614,-0.03285266,0.6399397,-0.09935954,0.3835352,-0.3210188,0.570649,-0.01071568,0.1163743,0,0,0,0,0,0,0,0
0.08194397,-0.6167193,-0.04568262,-0.6261873,-0.20755370000000004,0.3668619,0.06074511,0.3599442,0.0647402,-0.6920751,-0.13081210000000001,-0.6657466,-0.2699025,0.5411073000000001,0.01243223,0.03941488,-0.255021,0.8763846,-0.13217320000000002,0.1861419,-0.02751386,0.2410679,-0.0882562,0.2977277,-0.004839947,-0.2488948,-0.1451132,-0.24292199999999997,-0.13343529999999998,0.7483196999999999,-0.2208153,0.5624259,-0.01184796,0.6409916999999999,-0.08304319,0.37337259999999994,-0.3187216,0.5650168999999999,-0.009397499,0.10383440000000001,0,0,0,0,0,0,0,0
0.1234284,-0.6224767,-0.101991,-0.6256843000000001,-0.177727,0.36671190000000004,0.06989679,0.3609465,0.05973272,-0.6671876999999999,-0.1921654,-0.6577185000000001,-0.257797,0.4981259,0.05724379,0.05051504,-0.24366149999999998,0.8725572,-0.1072144,0.1777503,-0.02203468,0.23860889999999998,-0.07119628,0.2814542,-0.0032247,-0.25465909999999997,-0.1516023,-0.2379795,-0.1167143,0.7491416999999999,-0.2041503,0.563238,0.01748166,0.6470188,-0.06296062,0.35974340000000005,-0.3002087,0.5499027,0.06258357,0.12461789999999999,0,0,0,0,0,0,0,0
0.1878148,-0.6190142,-0.1811443,-0.6252508000000001,-0.1562034,0.364427,0.1033839,0.3455474,0.09542514,-0.6631661999999999,-0.2706484,-0.6535303000000001,-0.3207007,0.5166466,0.08651771,0.03461292,-0.2207968,0.8662871999999999,-0.07012571,0.1684933,0.02201437,0.2288709,-0.03154346,0.2673831,-0.0014398170000000001,-0.2528574,-0.1517172,-0.2363982,-0.09378137,0.7447869,-0.1812054,0.558879,0.03803128,0.6302761,-0.02192432,0.3459629,-0.27582140000000005,0.4888397,0.08487742,0.11393479999999999,0,0,0,0,0,0,0,0
0.2310779,-0.6087132,-0.23216170000000003,-0.6280062,-0.1338162,0.36727109999999996,0.1117068,0.3414183,0.15357200000000001,-0.6705093000000001,-0.3298643,-0.6345819,-0.3230398,0.40696950000000004,0.1079998,0.02893506,-0.2022859,0.8616075999999999,-0.06899652,0.1665495,0.02254067,0.22593470000000002,-0.02941654,0.26190820000000004,0.006899431,-0.2575717,-0.1419673,-0.2186139,-0.07114794,0.741924,-0.15857670000000001,0.5560162,0.04917637,0.6268225000000001,-0.01895551,0.3412748,-0.28488620000000003,0.44842609999999994,0.11206110000000001,0.09965903,0,0,0,0,0,0,0,0
0.26853790000000005,-0.5845939,-0.2569958,-0.5659139,-0.11501589999999999,0.3338609,0.13116689999999998,0.3369733,0.20524789999999998,-0.6644808000000001,-0.3545107,-0.5986935,-0.3540312,0.24797719999999998,0.1250476,0.01917214,-0.18501320000000002,0.8633863000000002,-0.05903803,0.16632339999999998,0.07234454,0.23332779999999997,-0.004572843,0.26179949999999996,0.0071237240000000005,-0.2624187,-0.09940463,-0.1734599,-0.06108611,0.7391574000000001,-0.1485138,0.5532494000000001,0.0700305,0.623084,0.005656647,0.3406591,-0.3044139,0.2677933,0.12263519999999999,0.09764214,0,0,0,0,0,0,0,0
0.221847,-0.5334227,-0.2917971,-0.5900769,-0.10877049999999999,0.3319219,0.1388456,0.3288295,0.23839639999999998,-0.630972,-0.3913493,-0.6014809,-0.2408205,0.09773574,0.1382081,0.01349188,-0.170244,0.8598737,-0.05660508,0.1671989,0.07194233,0.2312489,-0.002645395,0.26140589999999997,-0.1037266,-0.3036306,-0.12734120000000002,-0.2006645,-0.04472626,0.7351574000000001,-0.1321538,0.5492493,0.0809405,0.6160116999999999,0.01027596,0.33984169999999997,-0.19274249999999998,0.1291017,0.13908679999999998,0.09236237,0,0,0,0,0,0,0,0
